Contig	Pos	SNP	Allele1	Allele2	ChrPos	JekyllIs_MAF	D2Gen5_106	D2Gen5_1153	D2Gen5_1155	D2Gen5_1157	D2Gen5_1158	D2Gen5_1161	D2Gen5_1162	D2Gen5_1165	D2Gen5_1437	D2Gen5_1522	D2Gen5_1523	D2Gen5_1524	D2Gen5_1525	D2Gen5_1527	D2Gen5_1528	D2Gen5_209	D2Gen5_212	D2Gen5_213	D2Gen5_505	D2Gen5_506	D2Gen5_507	D2Gen5_508	D2Gen5_512	D2Gen5_513	D2Gen5_514	D2Gen5_515	D2Gen5_516	D2Gen5_518	D2Gen5_519	D2Gen5_520	D2Gen5_521	D2Gen5_522	D2Gen5_523	D2Gen5_524	D2Gen5_525	D2Gen5_526	D2Gen5_527	D2Gen5_529	D2Gen5_530	D2Gen5_532	D2Gen5_534	D2Gen5_537	D2Gen5_540	D2Gen5_541	D2Gen5_545	D2Gen5_547	D2Gen5_548	D2Gen5_549	D2Gen5_550	D2Gen5_551
comp54347_c0_seq2	1861	comp54347_c0_seq2_1861	1	3	6193091	0.965745	1.799909	0.99999	0.200012	0.334213	NA	NA	1.66491	0.952266	1.659687	0.199999	0.111109	0.200012	1.800003	0.33509	0.333508	0.111109	1.666447	0.33509	0.999045	0.199997	NA	NA	1.001179	1.888891	0.333508	0.199997	0.999992	1.666492	0.33509	0.199997	0.985359	0.200035	1.639217	0.33361	1.800003	0.200022	NA	0.199999	0.199997	0.058822	0.952247	0.998735	NA	0.970327	1.666492	0.333508	0.33361	NA	1.000207	0.058822
Contig15427	564	Contig15427_564	1	3	6198229	0.999995	1.662257	1.666492	0.333508	0.200008	NA	NA	1	0.333553	1.623577	0.337743	0.333508	0.33361	1.800001	0.199997	0.200033	0.200012	1.800003	0.993692	0.988532	0.33361	NA	0.333508	0.333508	1.662257	0.111109	0.333508	NA	0.498726	0.99963	NA	0.340313	0.200012	0.976092	0.340313	1.66491	0.333508	1.659687	0.333553	0.200012	0.333508	0.333773	NA	0.33361	0.058822	0.333508	NA	1.005662	1.800001	NA	0.111108
Contig15427	582	Contig15427_582	2	3	6198247	3e-06	0.337743	0.200003	1.666492	1.666492	1.659687	NA	1	1.800001	NA	1.662257	1.800001	1.66639	0.199999	1.800003	1.662257	1.88889	0.111109	1.001995	1.00529	1.66639	NA	1.639217	1.666492	0.337743	1.888891	1.666492	NA	0.007751	0.999986	NA	1.659687	1.799988	0.987625	1.659687	0.33509	1.799999	1.66491	1.666492	1.799985	1.666492	1.666492	NA	1.66639	1.969698	1.666492	NA	0.99434	0.111109	NA	1.88889
Contig15427	1047	Contig15427_1047	2	0	6198712	0.979019	NA	0.199997	0.33361	0.340313	0.998409	NA	1.000094	0.360781	0.333553	0.340313	0.200001	0.111109	1.666492	0.340313	0.015384	NA	1.659687	1.66639	NA	0.33509	1.66639	NA	0.111109	1.941178	0.199997	0.340313	0.333508	1.888891	1.047731	0.058822	0.333508	0.199997	1.666492	0.200004	NA	0.199999	1.800003	NA	NA	0.199997	1.090912	NA	NA	0.199997	1.013644	1.659687	1.000171	NA	1.662257	0.340313
Contig15427	1137	Contig15427_1137	1	3	6198802	0.999997	NA	0.969256	0.33361	0.200008	1.139515	0.333508	NA	0.387218	0.337743	0.333508	0.199997	0.33361	1.666492	0.200035	0.200075	NA	NA	NA	1.66491	0.333508	NA	NA	0.803475	1.659687	0.335545	0.111109	0.111109	NA	0.199999	0.111109	1.666492	0.058822	0.199997	0.200033	1.659687	NA	1.800001	NA	0.199997	0.199999	0.997472	NA	0.340313	NA	0.337743	1.66639	0.99434	1.662257	0.961635	0.199999
Contig15427	1143	Contig15427_1143	3	0	6198808	0.999993	NA	0.985359	0.33361	0.111108	1.139515	0.333508	NA	NA	0.337743	0.333508	0.199997	0.333773	1.666492	0.200035	0.200003	NA	NA	NA	1.66491	0.333508	NA	NA	0.880388	1.659687	0.33473	0.111109	1.002005	NA	1.023908	0.111109	1.666492	0.058822	1	0.200033	1.659687	NA	1.163835	NA	0.199997	0.20001	0.999799	NA	0.340313	0.340313	0.337743	1.66639	0.99434	1.623577	0.987499	0.199999
Contig15427	1428	Contig15427_1428	1	3	6199093	0.014706	0.333508	1.196832	1.800003	1.888891	0.199997	1.941178	1.659687	NA	0.199999	1.888891	1.888891	1.800001	NA	1.66639	1.800003	1.000064	NA	1.001196	NA	NA	0.333508	1.666492	1.662257	0.111109	1.800001	1.800003	1	0.199997	1.000001	1.888891	0.33361	1.800003	0.111109	1.800003	0.340313	1.799855	0.340313	NA	1.66639	1.799999	1.023908	NA	1.000207	1.888891	NA	0.340313	0.199999	0.33361	NA	1.941178
Contig15427	1506	Contig15427_1506	1	3	6199171	0.96714	1.800003	0.199997	0.199997	0.111109	1.666492	0.058822	1.666492	NA	NA	0.111109	0.333508	NA	0.333508	0.33361	0.333508	1.000003	1.799997	1.666492	0.333508	NA	NA	0.333888	0.360781	1.800003	NA	0.33361	0.999994	0.998046	0.998734	0.015384	NA	0.058822	1.002988	0.199997	NA	0.199997	NA	0.333508	NA	0.199997	0.333553	1.001266	0.199997	0.200001	1.00037	NA	0.998633	NA	0.99963	0.111109
Contig15427	1653	Contig15427_1653	2	0	6199318	0.999998	NA	NA	NA	0.340313	0.987625	0.200003	0.200033	0.909088	0.952249	NA	NA	0.015384	1.666492	NA	0.333508	1	1.800003	NA	0.340313	0.111109	1.800003	NA	1.799828	NA	0.340313	0.337743	1.000021	0.99963	1.047447	NA	0.99065	0.030302	0.993823	0.337743	0.340313	NA	NA	0.199997	NA	0.200001	1.800001	1.66639	1.659687	0.111109	NA	0.98175	0.200035	1.941178	1.000013	0.111109
Contig15427	1692	Contig15427_1692	2	0	6199357	0.999977	1.799965	NA	0.199999	0.33509	NA	0.33361	NA	0.340313	1.662257	0.200229	0.199997	NA	1.011838	0.111112	0.199997	1.024674	1.799999	NA	0.33361	0.340313	0.33361	NA	NA	NA	0.337743	0.337743	0.33361	0.33509	1.023538	0.340313	0.340313	0.33509	0.889171	0.340313	NA	0.199999	0.340313	0.199997	0.340313	0.340313	1.800003	NA	NA	0.111109	1.799985	0.200001	NA	0.340313	NA	0.030302
Contig15427	1716	Contig15427_1716	2	0	6199381	0.996209	1.88889	1.659687	0.199997	0.33509	0.200091	0.200003	NA	NA	1.659687	0.111108	0.199997	NA	0.998747	0.111109	0.058822	1.024674	1.66639	NA	0.976462	NA	0.33361	1.659687	NA	1.799988	0.337743	0.337743	0.33361	0.33509	0.058822	0.200035	0.340313	0.33509	0.200003	0.340313	NA	0.33361	1.000001	0.111109	0.340313	0.340313	1.800003	NA	NA	0.111109	1.66639	0.200001	0.340313	1.09091	1.659687	0.058822
Contig15427	1842	Contig15427_1842	0	1	6199507	0.944437	1.799994	1.66491	0.200001	NA	0.199997	0.367743	1.66639	0.999836	NA	0.333508	0.199997	0.199997	1.666492	0.199997	0.335095	1.001246	1.941178	1.666492	1.66491	0.333508	1.023908	1.800001	NA	1.66639	0.333508	0.111109	1.047764	1.004	NA	NA	NA	NA	0.20001	0.199999	1.662257	0.334213	1.662257	NA	0.111109	0.33361	NA	0.333508	1.005662	0.058822	NA	NA	NA	1.666492	NA	0.200535
Contig15427	1912	Contig15427_1912	1	3	6199577	0.97625	1.888891	0.200289	0.058822	NA	0.199999	0.367743	1.66639	0.977457	NA	0.340313	0.200001	0.111109	0.337743	0.111108	0.199999	1.003174	1.666492	1.800001	1.800003	NA	NA	0.200091	NA	1.665272	NA	NA	1.666492	1.166235	NA	NA	NA	0.337743	0.987556	NA	1.800001	0.33361	1.799909	NA	0.333508	NA	1.666447	0.337743	NA	NA	NA	NA	NA	1.666317	NA	0.337743
Contig15427	1914	Contig15427_1914	0	2	6199579	0.975556	1.888891	0.200012	0.058822	NA	0.199999	0.333888	1.66639	0.977048	NA	0.340313	0.111109	0.111109	0.337743	0.111108	0.199999	1.00631	1.66639	1.800001	1.800003	NA	NA	0.200091	NA	1.666492	NA	NA	1.666317	1.166235	NA	NA	NA	0.337743	0.987556	NA	1.800001	0.33361	1.799886	NA	0.333508	NA	1.66639	0.337743	NA	NA	NA	NA	NA	1.666112	NA	0.337743
Contig15427	2035	Contig15427_2035	0	3	6199700	5e-06	0.199999	1.128818	1.799967	1.941178	1.659687	NA	1.000001	NA	NA	NA	1.662257	1.799967	1.001573	NA	1.799965	0.33361	NA	1.66639	0.200471	1.66491	0.333508	0.340313	0.976092	NA	NA	NA	1.800001	0.333773	NA	1.66491	NA	1.800003	1.005662	NA	NA	NA	NA	NA	1.666492	1.659687	0.337743	NA	1.666447	NA	1.66639	NA	NA	NA	1.00122	1.662257
Contig15427	2037	Contig15427_2037	0	3	6199702	7e-06	0.199999	0.997687	1.799967	1.941178	1.659687	NA	1.000001	NA	NA	NA	1.662257	1.799967	1.001246	NA	1.799965	0.33361	NA	1.66639	0.200091	1.66491	0.333508	0.340313	1.110829	NA	NA	NA	1.800001	0.336118	NA	1.66491	NA	1.800003	1.005662	NA	NA	NA	NA	NA	1.666492	1.659687	0.337743	NA	1.665787	NA	1.66639	NA	NA	NA	1.00126	1.662257
Contig15427	2060	Contig15427_2060	3	1	6199725	0.917168	1.66639	1.0125	0.337743	0.111109	NA	NA	1.659687	NA	0.33509	NA	0.337743	0.199999	0.98434	NA	0.111109	0.333508	1.666227	0.33361	1.662257	0.33509	1.666492	NA	1.652797	NA	NA	NA	0.199999	0.33361	0.20001	0.199997	NA	0.111109	0.333508	NA	NA	NA	NA	NA	0.333508	NA	1.662257	NA	0.333508	NA	0.33361	NA	NA	NA	0.998886	NA
Contig15427	2115	Contig15427_2115	2	0	6199780	0.945136	NA	1.800001	NA	0.199997	1	0.33361	NA	NA	0.33509	NA	NA	0.333508	1.666317	NA	0.199999	0.333888	NA	0.33361	NA	0.33509	1.666227	NA	1.800003	1.888891	0.333508	0.333508	NA	1.666492	0.998766	0.111109	NA	0.111109	0.199997	NA	1.666112	NA	0.33361	NA	0.199997	NA	NA	1.888891	0.334213	NA	0.33361	NA	NA	NA	1.666492	NA
Contig15427	2119	Contig15427_2119	3	0	6199784	0.972758	NA	1.001195	NA	0.199997	1	0.33361	NA	NA	0.33509	NA	NA	0.333508	1.666447	NA	0.111109	0.333508	NA	0.33361	NA	0.33509	1.666317	NA	1.666492	1.888891	0.333508	0.333508	NA	1.666492	0.998734	0.111109	NA	0.111109	0.199997	NA	1.666492	NA	0.33361	NA	0.199997	NA	NA	1.888891	0.33361	NA	0.33361	NA	NA	NA	1.666492	NA
Contig15427	2280	Contig15427_2280	3	0	6199945	0.976894	1.799945	0.993702	0.200001	0.199999	0.890537	0.199999	NA	1.632257	1.66491	0.199999	0.200001	0.058822	NA	0.33509	0.33509	0.333508	1.800003	1.66639	1.66491	NA	0.333508	0.33361	1.666492	1.66639	0.333508	0.33509	NA	1.059548	NA	0.333508	0.340313	0.337743	0.999979	0.199999	0.340313	0.337743	0.333888	NA	0.334213	0.33509	0.99434	0.333553	NA	0.333508	NA	NA	NA	1.800001	0.995998	0.33509
Contig15427	2319	Contig15427_2319	0	2	6199984	0.978572	1.666492	1.000012	0.111109	0.199999	0.890283	0.199999	NA	1.665787	1.66491	0.199999	0.333508	0.058822	NA	0.33509	0.199999	0.98499	1.800003	1.66639	1.66491	NA	0.333508	0.33361	1.005662	1.66639	0.33361	0.200001	NA	1.112206	NA	0.111109	0.333508	NA	0.999979	0.111109	NA	0.199999	NA	NA	0.333508	NA	0.99434	0.367743	NA	0.111109	NA	NA	NA	1.666492	0.997996	0.199999
Contig15427	2663	Contig15427_2663	0	2	6200328	4e-06	0.33361	0.360781	1.666492	NA	0.33361	1.666112	1.666492	1.666492	0.33361	1.66639	1.639217	NA	0.333508	1.666492	NA	1.666492	0.333508	1.659687	1.659687	1.66639	NA	NA	1.66639	0.333508	NA	1.66639	NA	0.199997	0.333508	1.800003	1.659687	1.666492	0.333508	NA	NA	NA	1.666492	1.662257	1.666492	1.666492	NA	NA	NA	NA	0.333508	1.666492	0.333553	0.33361	1.666492	1.666492
Contig15427	2701	Contig15427_2701	1	2	6200366	0.978351	NA	1.666492	0.337743	1.666492	1.800003	0.337743	NA	0.333508	1.666492	NA	0.333508	0.111109	0.333508	NA	0.33509	1.800001	1.666492	1.666492	1	0.11111	NA	0.333508	NA	1.66639	0.333508	0.340313	NA	0.199997	NA	0.340313	NA	0.340313	0.33509	0.33361	NA	0.33361	0.98499	NA	0.200091	NA	NA	1.666492	0.333508	0.199997	1.66639	1.666492	NA	NA	1.639217	0.340313
Contig15427	2783	Contig15427_2783	1	3	6200448	0.976838	NA	1.666492	0.333553	0.998633	1.800001	NA	0.333508	0.333508	1.800003	0.111109	0.111109	0.765711	1.001202	0.33361	0.199997	1.666492	1.666492	1.666492	1.001266	NA	NA	0.199997	1	NA	0.333508	0.333508	1.66639	NA	NA	NA	NA	0.333508	0.33509	0.33361	NA	NA	0.333508	NA	0.334213	0.199999	1.666492	1	0.99434	0.199997	1.799997	1.666492	NA	NA	NA	NA
Contig15427	2811	Contig15427_2811	0	2	6200476	0.999996	NA	1.666492	0.333773	0.333508	1.800003	NA	0.333508	0.333508	1.800003	0.030302	0.199997	0.111109	1.012499	0.199997	0.199997	1.666317	NA	1.666492	1.888891	NA	NA	0.99434	1.001265	1.800003	0.333508	0.33361	1.666492	NA	NA	NA	NA	NA	0.33509	0.33361	NA	NA	0.333553	NA	0.199997	0.199999	1.666492	0.995296	0.333508	0.199997	1.799988	0.333553	NA	1.665967	NA	NA
Contig15427	2904	Contig15427_2904	2	0	6200569	0.999997	1.662257	1.030587	0.111108	NA	NA	NA	NA	NA	NA	0.337743	NA	0.111109	1.008901	0.340313	0.340313	NA	1.666492	NA	1.000001	0.200001	NA	0.333508	1.662257	1.662257	NA	0.33509	1.88889	0.340313	NA	0.111108	1.66491	0.11111	NA	0.337743	NA	0.33509	NA	0.111114	0.33509	0.199999	NA	0.340313	NA	0.33361	0.340313	NA	NA	NA	0.337743	0.337743
Contig15427	3015	Contig15427_3015	2	1	6200680	0.999992	1.888891	1.000001	0.058822	NA	NA	0.333888	0.996017	NA	1.88889	NA	0.340313	0.111109	0.994829	NA	0.200364	1.969698	NA	1.66639	NA	0.058822	1.659687	1.666492	1.000001	1.984616	NA	0.333508	0.998784	1.66639	1.666492	0.058822	0.998001	0.058822	0.33361	0.340313	1.66639	0.111109	1.66639	NA	0.337743	0.058822	1.000001	0.200091	0.998734	0.111109	NA	1.66491	0.334213	1.66639	1.666492	0.058822
Contig15427	3120	Contig15427_3120	3	1	6200785	0.999997	1.66639	1	0.340313	NA	NA	0.333508	0.997548	NA	1.001265	0.333508	0.33361	NA	NA	0.333683	0.058822	1.665967	NA	1.666492	0.333508	NA	1.665967	0.33361	NA	NA	NA	NA	NA	NA	NA	0.111109	0.998754	0.199997	0.33361	0.333508	NA	0.333508	NA	NA	0.33473	0.333508	0.998733	1.663882	1.666492	0.199997	NA	0.333683	0.997579	1.888891	1.800003	0.199997
Contig15427	3123	Contig15427_3123	2	3	6200788	0.999997	1.66639	1	0.340313	NA	NA	0.333508	1	NA	1.001266	0.333508	0.333553	NA	NA	0.333553	0.058822	1.666492	NA	1.666492	0.33361	NA	1.666112	0.33361	NA	NA	NA	NA	NA	NA	NA	0.111109	0.998847	0.199997	0.33361	0.333773	NA	0.333508	NA	NA	0.33361	0.333508	0.998734	1.666492	1.666492	0.199997	NA	0.333508	0.99999	1.888891	1.800003	0.111108
Contig15427	3198	Contig15427_3198	1	3	6200863	0.999996	1.66639	1.888891	0.111109	NA	NA	NA	0.333508	NA	0.99963	0.333508	0.199997	0.33509	0.333508	NA	0.199997	1.888891	NA	1.01501	0.985359	NA	1.666492	NA	1.799974	1.799855	NA	0.199999	0.333508	0.998409	0.333508	0.111109	1.08963	0.058822	0.333508	NA	0.199999	NA	NA	NA	0.333508	0.340313	NA	0.199997	0.998792	0.199997	1.66491	1.639217	1.001265	1.666492	1.666492	0.015384
Contig15427	3207	Contig15427_3207	3	2	6200872	0.999995	1.800001	1.800001	0.111108	0.340313	NA	NA	0.335545	NA	1.66639	NA	0.199999	0.33509	0.333508	NA	0.111109	1.888891	NA	0.337743	0.985359	NA	1.666492	NA	1.800003	1.799855	NA	0.111108	0.333508	0.99963	0.200001	0.111109	1.000957	0.058822	0.333508	NA	0.199999	NA	NA	NA	0.335545	0.340313	NA	0.199997	0.9996	0.200001	1.66491	1.665272	0.999371	1.659687	NA	0.015384
Contig15427	3273	Contig15427_3273	2	0	6200938	0.999102	NA	NA	0.337743	0.11111	0.999481	NA	1	1.047754	0.111109	NA	NA	0.200003	0.987519	0.33509	0.030302	0.90909	1.666492	0.20003	NA	0.367743	NA	NA	1.005662	1.800001	0.33509	0.33361	1.799999	0.952242	0.98175	0.201144	1.799909	0.111108	0.200021	NA	NA	0.33361	1.666492	NA	0.200003	NA	0.199999	1.023538	0.200033	NA	1.66491	1.666492	0.991099	1.800003	0.333508	0.20006
Contig15427	3342	Contig15427_3342	0	2	6201007	0.941922	1.632257	0.995061	0.200001	0.200033	0.333553	NA	NA	NA	NA	NA	0.367743	0.33509	1.66491	0.33509	0.199997	1.659687	1.888891	NA	NA	0.199997	1.028426	NA	0.96926	1.800001	0.337743	0.200695	1.66639	1.014641	0.33509	NA	1.659687	0.340313	0.111109	0.367743	NA	0.33361	0.99434	0.199999	0.33509	0.333508	0.199999	NA	1.799857	NA	0.865618	1.019537	1.659687	1.662257	1.662257	0.33361
Contig15427	3423	Contig15427_3423	1	3	6201088	0.979398	1.66491	0.337743	0.199999	0.111108	NA	NA	NA	1.800001	1.66491	0.337743	0.333888	0.33509	0.360781	0.200012	0.199997	1.000001	1.666492	NA	NA	0.111109	0.111108	1.666492	0.989362	1.800001	0.337743	0.200004	NA	0.337743	0.33509	0.337743	1.659687	0.111109	0.199997	NA	NA	0.33361	NA	0.333553	0.200033	0.199997	NA	1.66491	0.200091	NA	0.889915	1.666112	1.66639	1.88889	1.008901	1.100884
Contig15427	4831	Contig15427_4831	3	1	6202496	0.604042	NA	1.800001	NA	NA	0.333508	1.666492	1.666492	NA	0.333508	0.333888	0.199997	0.058822	1.666492	0.030302	0.333508	1.66639	1.799988	0.333508	0.333508	0.111109	NA	NA	1.665557	1.799999	NA	0.333508	0.999999	1.66639	NA	NA	1.666492	0.111109	1.000002	0.199997	NA	0.333888	0.333508	0.199997	0.200026	0.333773	0.200001	0.333553	0.199997	0.333683	1.004373	1.666447	NA	1.666492	NA	0.199997
Contig15427	4981	Contig15427_4981	3	1	6202646	0.533829	1.888891	0.333508	NA	NA	1.666317	1.666492	1	NA	1.666112	0.33361	NA	0.199997	1.001262	0.111109	0.33361	1.799945	1.888891	0.333508	NA	NA	NA	NA	0.333508	1.666492	NA	0.333508	NA	1.888891	NA	0.333508	1.666492	0.111109	0.199997	NA	1.666227	NA	NA	0.333508	0.199997	0.058822	NA	0.994502	0.33473	NA	1	NA	NA	1.666492	0.199997	0.333508
Contig15427	5032	Contig15427_5032	0	3	6202697	0.543741	1.941178	0.111109	NA	NA	1.612782	1.800003	1.000001	0.333508	1.665787	0.333508	0.33509	0.111109	1.090912	0.199997	0.199997	1.666492	1.888891	NA	NA	0.333553	NA	1.666492	0.33361	1.666492	0.333508	0.33361	NA	1.800003	0.199997	0.33361	1.666492	0.199997	0.111109	0.333508	1.888891	NA	NA	0.199997	NA	0.030302	NA	0.333508	0.333508	0.333508	0.999998	NA	0.333508	NA	NA	0.199997
Contig15427	5191	Contig15427_5191	2	0	6202856	0.417792	0.199997	0.333508	1.666492	NA	0.199997	NA	1.800003	0.333508	NA	1.666492	1.888891	1.66639	1.666492	NA	1.800003	1.666492	0.111109	1.666492	0.333508	NA	1.665967	0.33473	0.360781	0.333508	NA	1.941178	1.888891	1.800003	1.666492	1.800003	0.999045	1.639217	1.666492	1.888891	NA	NA	NA	1.666492	1.798856	NA	1.001225	1.888891	1.666492	1.666492	0.998737	0.998633	1.666492	0.199997	NA	1.888891
Contig15427	5278	Contig15427_5278	0	1	6202943	0.479633	0.058822	0.909088	1.666492	NA	0.111109	1.66491	1.666492	0.333508	0.199999	1.664455	1.800001	1.888891	0.99963	1.659687	1.969698	1.800001	0.030302	NA	NA	1.662257	1.66491	1	1.665787	0.333508	NA	1.799999	0.995998	0.33361	1.800001	1.666492	1	1.66491	NA	NA	0.200001	NA	1.666492	1.66639	1.800003	1.941178	NA	1.000586	1.014056	1.888891	1.666492	0.998734	NA	NA	1.659687	1.666447
comp62457_c0_seq2	82	comp62457_c0_seq2_82	2	0	6235978	0.081501	0.199997	0.058822	NA	1.666492	NA	1.666492	1.666492	0.998735	NA	1.666492	NA	1.969698	1.665787	1.666112	NA	1.941178	0.111109	0.999901	1	NA	1.666492	1.666317	0.674548	0.111109	NA	NA	0.999893	1.666492	1.66639	1.888891	0.333508	NA	0.199997	NA	NA	NA	NA	1.666112	NA	NA	0.199997	1	1	1.800003	1.000629	NA	0.33509	0.334031	NA	NA
comp62457_c0_seq2	147	comp62457_c0_seq2_147	1	3	6236043	0.999998	1.888891	1	NA	0.33361	1.666492	NA	0.334031	0.998737	NA	0.199997	NA	0.111109	0.333508	NA	0.199997	0.997995	1.800003	0.999168	1	NA	NA	0.333508	0.111109	1.941178	NA	NA	1.001263	NA	0.837481	0.111109	1.666492	0.333508	1.800003	0.199997	NA	0.333508	0.334445	0.334213	0.333683	NA	1.666492	1.666317	0.199997	0.199997	0.994982	NA	1.00026	1.800003	0.376421	NA
comp62457_c0_seq2	172	comp62457_c0_seq2_172	3	0	6236068	0.979588	1.941178	0.199997	NA	0.333508	1.666492	0.333508	NA	0.998735	NA	0.333508	NA	0.376421	1	NA	0.199997	1.004003	1.800003	0.997997	NA	NA	NA	0.333508	0.9875	1.888891	NA	NA	1.001265	NA	1.666447	0.058822	1.666492	0.333508	1.800003	0.111109	NA	0.333508	1.666227	NA	0.333508	NA	1.666492	1.001179	0.199997	0.199997	0.333508	NA	0.99963	1.800003	0.33473	NA
comp62457_c0_seq2	180	comp62457_c0_seq2_180	3	1	6236076	0.98025	1.941178	0.199997	NA	0.333683	1.666492	0.333508	NA	0.199997	NA	0.333508	NA	0.333508	1.001367	NA	0.199997	0.99963	1.800003	0.998824	NA	NA	NA	0.333553	0.199997	1.888891	NA	NA	0.998734	0.33361	1.666492	0.058822	1.666492	0.333508	1.800003	0.199997	NA	0.333508	1.666447	NA	0.333683	NA	1.666492	1.001265	0.199997	0.199997	0.333508	NA	1.00026	1.800003	NA	NA
comp62457_c0_seq2	480	comp62457_c0_seq2_480	3	0	6236376	0.988745	1.941178	NA	NA	0.058822	1.0125	0.337743	1.888891	0.333508	0.333773	0.33361	0.111108	NA	0.333508	0.111108	0.199997	1.666492	1.666112	0.337743	0.340313	0.058822	1.799994	1.941178	0.200012	NA	NA	NA	1.00037	0.333508	0.33509	0.030302	0.340313	NA	1.659687	0.111108	0.333508	0.199997	0.33361	NA	0.199997	0.111109	0.199997	0.969334	1.01501	0.199997	0.994955	NA	NA	1.799988	1.089264	0.111109
comp62457_c0_seq2	500	comp62457_c0_seq2_500	2	0	6236396	0.982683	1.941178	1.799999	NA	0.058822	1.000003	NA	1.888891	0.333508	0.199997	0.33361	0.33509	0.333508	0.333508	0.111109	0.199997	1.800003	1.888891	NA	NA	0.015384	1.00037	1.002529	0.199997	1.66639	NA	NA	1	1	0.333508	0.199999	1.665967	0.33473	NA	0.200091	0.333508	0.200012	1.666492	0.333773	0.199997	0.200006	0.969956	0.33509	1.01501	0.199997	0.9996	NA	NA	1.800003	1.000001	0.111109
comp62457_c0_seq2	1033	comp62457_c0_seq2_1033	3	1	6236929	0.976107	1.888891	NA	NA	0.199997	1.800003	NA	0.333683	0.199997	0.199997	NA	0.333508	1.008931	0.333508	0.33361	0.333508	0.889915	1.888891	1.799981	NA	0.058822	NA	1	1.800003	1.969698	0.333508	NA	1.001118	0.99434	1.00037	0.058822	1	0.199999	1.001266	0.200114	1.666447	0.111109	1.666492	0.199997	0.337743	NA	1.666227	0.333508	0.333773	NA	NA	NA	NA	1.666492	NA	0.030302
comp62457_c0_seq2	1057	comp62457_c0_seq2_1057	3	0	6236953	0.975371	1.888891	NA	0.333553	0.199997	0.33509	NA	1	0.333508	0.199997	NA	0.333508	1.66639	0.9875	0.33361	0.199997	1	1.800003	1.800003	NA	0.058822	NA	1.664455	1.00037	1.888891	0.333508	NA	0.889915	1.66491	1.001997	0.030302	0.998406	0.111109	0.998736	0.333508	1.665787	0.99369	NA	0.199997	0.333553	0.199997	1	NA	0.333508	NA	0.333508	NA	NA	1.666492	NA	0.030302
comp62457_c0_seq2	1063	comp62457_c0_seq2_1063	1	0	6236959	0.976099	1.888891	NA	0.333508	0.111109	0.33509	NA	1	0.333508	0.199997	NA	0.333508	1.662257	0.997478	0.33361	0.199997	1	1.800003	1.800003	NA	0.058822	NA	1.663162	1.002005	1.888891	0.333508	NA	0.910368	NA	1.001954	0.111109	0.998734	0.199997	0.998735	0.199997	1.666492	0.990041	NA	0.199997	0.333888	0.111109	0.998735	NA	0.333508	NA	0.199997	NA	NA	1.66639	NA	0.030302
comp62457_c0_seq2	1120	comp62457_c0_seq2_1120	1	3	6237016	0.977288	1.800003	NA	0.199997	0.199997	0.33509	0.333508	1.000629	NA	1	NA	0.333508	0.940698	0.836158	0.33361	0.199997	1.000629	1.666227	1.666447	NA	0.111109	NA	0.995997	1.00037	1.888891	0.199997	NA	0.333508	NA	1.666492	0.111109	0.993674	0.111109	0.998734	0.199997	1.666112	0.333508	1.66639	0.337743	NA	0.199997	0.997471	0.333553	0.998734	NA	0.998408	0.33361	NA	1.666492	NA	0.111109
comp62457_c0_seq2	1163	comp62457_c0_seq2_1163	1	3	6237059	0.976375	1.800003	1.001266	0.199997	0.199997	NA	0.333508	1.666492	NA	1.666492	0.333508	0.333508	0.199997	0.99369	NA	0.111109	0.111109	1.666492	1.800003	NA	0.333508	NA	0.333508	1.003181	1.800003	0.199997	NA	0.199997	1.004	1.00199	0.058822	1.000005	0.333508	0.998733	0.336838	1.800003	0.333508	1.666492	0.333508	0.333773	0.199997	1	0.199997	1.66639	NA	0.992051	0.199997	NA	NA	NA	0.333508
comp62457_c0_seq2	1183	comp62457_c0_seq2_1183	0	2	6237079	0.979492	1.941178	1.000002	0.199997	0.333508	NA	0.333508	1.666492	0.333773	1.666492	0.333508	0.199997	0.199997	0.333508	NA	0.111109	0.111109	1.666492	1.888891	NA	0.333508	0.333773	0.333508	1.000001	1.888891	0.199997	NA	0.333508	1.002529	1.001195	0.058822	1.000002	0.333508	0.998734	0.333508	1.002529	0.333508	1.666492	0.200012	0.334031	NA	0.998117	0.199997	1.666492	NA	0.333508	0.199997	NA	NA	NA	0.333508
comp62457_c0_seq2	1231	comp62457_c0_seq2_1231	3	0	6237127	0.978	1.984616	1.000233	0.333773	0.111109	1.666492	NA	NA	1	NA	0.333553	0.200006	0.333508	0.333508	0.333508	0.058822	0.997471	1.800003	1.888891	NA	0.33361	0.33509	NA	0.999999	1.799994	0.20001	NA	0.111109	1.003181	0.998633	0.111109	0.996819	0.199999	0.99963	NA	1.000004	0.199997	0.333508	0.337743	0.199997	0.360781	0.333508	0.33361	1.66491	0.058822	0.199997	0.333508	NA	1.666492	NA	0.199997
comp62457_c0_seq2	1388	comp62457_c0_seq2_1388	3	0	6237284	0.999997	1.799857	1.666492	0.333508	NA	1.666492	0.333508	1.666492	0.200006	NA	0.333508	0.199997	1.666492	0.199997	NA	NA	1.666492	NA	1.666492	0.333888	0.199997	1.666492	1.666447	0.199997	1.888891	NA	0.199997	0.199997	NA	0.387218	0.333508	0.333553	0.030302	0.199997	NA	1.666492	0.338881	NA	0.33361	0.333683	0.058822	NA	0.998736	NA	NA	NA	NA	NA	1.666492	NA	0.199997
